entity,source,risk_type,risk_score,description,date
ACCT200233,Financial News Feed,Crypto Laundering Indicator,0.67,Negative media coverage related to corruption allegations,2025-05-16
ACCT200361,Social Media Monitoring,Crypto Laundering Indicator,0.79,Named in leaked documents involving offshore tax structures,2025-05-10
CUST90004,Social Media Monitoring,Sanctions Exposure,0.62,Named in leaked documents involving offshore tax structures,2025-01-15
ACCT200128,Dark Web Monitoring,Sanctions Exposure,0.56,Connected to politically exposed individual under investigation,2024-02-18
ACCT200197,Financial News Feed,Politically Exposed Person Link,0.65,Linked to offshore shell company registered in Cayman Islands,2024-07-04
CUST90122,Sanctions Watchlist,Offshore Account Activity,0.84,Mentioned in regulatory investigation related to financial misconduct,2024-10-04
CUST90217,Financial News Feed,Politically Exposed Person Link,0.61,Named in leaked documents involving offshore tax structures,2024-05-05
CUST90244,Dark Web Monitoring,Fraud Investigation Mention,0.7,Negative media coverage related to corruption allegations,2024-08-10
CUST90201,Open Source Intelligence,Terror Financing Link,0.64,Mentioned in regulatory investigation related to financial misconduct,2024-04-06
ACCT200306,Regulatory Bulletin,Fraud Investigation Mention,0.46,Mentioned in regulatory investigation related to financial misconduct,2025-04-30
CUST90277,Regulatory Bulletin,Terror Financing Link,0.9,Connected to politically exposed individual under investigation,2025-05-07
ACCT200110,Sanctions Watchlist,Crypto Laundering Indicator,0.79,Negative media coverage related to corruption allegations,2024-08-14
CUST90184,Social Media Monitoring,Crypto Laundering Indicator,0.54,Identified in sanctions advisory regarding suspicious financial networks,2024-10-01
ACCT200132,Social Media Monitoring,Terror Financing Link,0.57,Linked to offshore shell company registered in Cayman Islands,2024-10-15
CUST90088,Social Media Monitoring,Negative Media,0.91,Associated with high-risk cryptocurrency exchange activity,2024-04-16
ACCT200132,Financial News Feed,Crypto Laundering Indicator,0.87,Linked to offshore shell company registered in Cayman Islands,2024-04-25
ACCT200359,Open Source Intelligence,Negative Media,0.64,Named in leaked documents involving offshore tax structures,2025-08-03
CUST90036,Open Source Intelligence,Politically Exposed Person Link,0.63,Named in leaked documents involving offshore tax structures,2025-08-18
ACCT200236,Dark Web Monitoring,Negative Media,0.94,Mentioned in regulatory investigation related to financial misconduct,2025-02-06
ACCT200216,Open Source Intelligence,Negative Media,0.58,Named in leaked documents involving offshore tax structures,2024-08-19
CUST90236,Regulatory Bulletin,Politically Exposed Person Link,0.9,Negative media coverage related to corruption allegations,2024-12-10
CUST90162,Regulatory Bulletin,Negative Media,0.84,Named in leaked documents involving offshore tax structures,2025-01-30
CUST90242,Financial News Feed,Fraud Investigation Mention,0.51,Mentioned in regulatory investigation related to financial misconduct,2025-03-20
ACCT200259,Sanctions Watchlist,Sanctions Exposure,0.97,Mentioned in regulatory investigation related to financial misconduct,2024-03-18
ACCT200460,Dark Web Monitoring,Fraud Investigation Mention,0.78,Linked to offshore shell company registered in Cayman Islands,2025-01-03
ACCT200217,Sanctions Watchlist,Fraud Investigation Mention,0.67,Named in leaked documents involving offshore tax structures,2024-11-09
ACCT200160,Open Source Intelligence,Sanctions Exposure,0.9,Referenced in dark web forum discussing illicit financial transfers,2024-10-16
ACCT200071,Open Source Intelligence,Shell Company Association,0.94,Mentioned in regulatory investigation related to financial misconduct,2024-08-29
ACCT200186,Regulatory Bulletin,Terror Financing Link,0.75,Connected to politically exposed individual under investigation,2024-09-04
ACCT200232,Financial News Feed,Negative Media,0.74,Mentioned in regulatory investigation related to financial misconduct,2024-10-18
ACCT200469,Sanctions Watchlist,Offshore Account Activity,0.92,Referenced in dark web forum discussing illicit financial transfers,2024-12-11
CUST90271,Open Source Intelligence,Crypto Laundering Indicator,0.7,Negative media coverage related to corruption allegations,2025-01-04
CUST90111,Financial News Feed,Sanctions Exposure,0.71,Negative media coverage related to corruption allegations,2024-03-19
CUST90222,Dark Web Monitoring,Politically Exposed Person Link,0.98,Connected to politically exposed individual under investigation,2024-12-11
CUST90036,Financial News Feed,Politically Exposed Person Link,0.73,Connected to politically exposed individual under investigation,2024-11-20
CUST90050,Dark Web Monitoring,Fraud Investigation Mention,0.75,Connected to politically exposed individual under investigation,2025-06-10
ACCT200369,Regulatory Bulletin,Crypto Laundering Indicator,0.64,Linked to offshore shell company registered in Cayman Islands,2025-05-15
ACCT200296,Social Media Monitoring,Sanctions Exposure,0.6,Identified in sanctions advisory regarding suspicious financial networks,2024-05-01
ACCT200485,Dark Web Monitoring,Sanctions Exposure,0.57,Referenced in dark web forum discussing illicit financial transfers,2024-03-30
ACCT200336,Social Media Monitoring,Crypto Laundering Indicator,0.76,Identified in sanctions advisory regarding suspicious financial networks,2024-08-08
ACCT200018,Social Media Monitoring,Sanctions Exposure,0.91,Named in leaked documents involving offshore tax structures,2025-07-15
ACCT200444,Financial News Feed,Fraud Investigation Mention,0.7,Named in leaked documents involving offshore tax structures,2024-03-31
CUST90089,Regulatory Bulletin,Offshore Account Activity,0.74,Referenced in dark web forum discussing illicit financial transfers,2024-08-01
CUST90029,Sanctions Watchlist,Negative Media,0.67,Associated with high-risk cryptocurrency exchange activity,2025-05-15
CUST90293,Sanctions Watchlist,Shell Company Association,0.96,Negative media coverage related to corruption allegations,2024-11-16
CUST90190,Financial News Feed,Terror Financing Link,0.94,Linked to offshore shell company registered in Cayman Islands,2025-04-28
