sar_id,typology,country,risk_score,narrative
SAR21000,Crypto Laundering,RU,0.75,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21001,Shell Company Transfers,KY,0.86,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21002,Rapid Movement of Funds,UK,0.85,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21003,Round Tripping,AE,0.72,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21004,Trade Based Money Laundering,SG,0.67,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21005,Layering,AE,0.85,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21006,Crypto Laundering,US,0.69,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21007,Rapid Movement of Funds,UK,0.72,Large sums were moved across several jurisdictions within short time intervals.
SAR21008,Crypto Laundering,US,0.87,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21009,Round Tripping,IN,0.88,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21010,Shell Company Transfers,KY,0.86,Large sums were moved across several jurisdictions within short time intervals.
SAR21011,Trade Based Money Laundering,RU,0.79,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21012,Structuring,KY,0.85,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21013,Rapid Movement of Funds,RU,0.89,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21014,Crypto Laundering,KY,0.83,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21015,Trade Based Money Laundering,US,0.96,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21016,Crypto Laundering,AE,0.87,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21017,Rapid Movement of Funds,IN,0.89,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21018,Layering,US,0.88,Large sums were moved across several jurisdictions within short time intervals.
SAR21019,Shell Company Transfers,UK,0.84,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21020,Crypto Laundering,RU,0.7,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21021,Rapid Movement of Funds,KY,0.7,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21022,Crypto Laundering,KY,0.9,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21023,Round Tripping,SG,0.75,Large sums were moved across several jurisdictions within short time intervals.
SAR21024,Layering,UK,0.98,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21025,Structuring,UK,0.94,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21026,Rapid Movement of Funds,US,0.91,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21027,Crypto Laundering,UK,0.68,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21028,Layering,NG,0.85,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21029,Structuring,IN,0.9,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21030,Trade Based Money Laundering,RU,0.66,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21031,Structuring,NG,0.91,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21032,Layering,NG,0.87,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21033,Layering,KY,0.84,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21034,Shell Company Transfers,UK,0.87,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21035,Rapid Movement of Funds,KY,0.67,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21036,Crypto Laundering,KY,0.7,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21037,Round Tripping,RU,0.79,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21038,Mule Account,KY,0.95,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21039,Layering,RU,0.67,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21040,Trade Based Money Laundering,SG,0.84,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21041,Shell Company Transfers,KY,0.76,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21042,Mule Account,UK,0.84,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21043,Structuring,IN,0.69,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21044,Round Tripping,SG,0.93,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21045,Shell Company Transfers,RU,0.84,Large sums were moved across several jurisdictions within short time intervals.
SAR21046,Shell Company Transfers,KY,0.95,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21047,Crypto Laundering,UK,0.73,Funds were sent to accounts linked to shell companies lacking operational presence.
